method,alpha,k,temperature,config_key
mean,0.1,5,,mean-k5-a0p1-tnone
mean,0.1,20,,mean-k20-a0p1-tnone
mean,0.1,50,,mean-k50-a0p1-tnone
softmax,0.1,5,0.05,softmax-k5-a0p1-t0p05
softmax,0.1,5,0.1,softmax-k5-a0p1-t0p1
softmax,0.1,5,0.2,softmax-k5-a0p1-t0p2
softmax,0.1,5,0.5,softmax-k5-a0p1-t0p5
softmax,0.1,20,0.05,softmax-k20-a0p1-t0p05
softmax,0.1,20,0.1,softmax-k20-a0p1-t0p1
softmax,0.1,20,0.2,softmax-k20-a0p1-t0p2
softmax,0.1,20,0.5,softmax-k20-a0p1-t0p5
mean,0.3,5,,mean-k5-a0p3-tnone
mean,0.3,20,,mean-k20-a0p3-tnone
mean,0.3,50,,mean-k50-a0p3-tnone
softmax,0.3,5,0.05,softmax-k5-a0p3-t0p05
softmax,0.3,5,0.1,softmax-k5-a0p3-t0p1
softmax,0.3,5,0.2,softmax-k5-a0p3-t0p2
softmax,0.3,5,0.5,softmax-k5-a0p3-t0p5
softmax,0.3,20,0.05,softmax-k20-a0p3-t0p05
softmax,0.3,20,0.1,softmax-k20-a0p3-t0p1
softmax,0.3,20,0.2,softmax-k20-a0p3-t0p2
softmax,0.3,20,0.5,softmax-k20-a0p3-t0p5
mean,0.5,5,,mean-k5-a0p5-tnone
mean,0.5,20,,mean-k20-a0p5-tnone
mean,0.5,50,,mean-k50-a0p5-tnone
softmax,0.5,5,0.05,softmax-k5-a0p5-t0p05
softmax,0.5,5,0.1,softmax-k5-a0p5-t0p1
softmax,0.5,5,0.2,softmax-k5-a0p5-t0p2
softmax,0.5,5,0.5,softmax-k5-a0p5-t0p5
softmax,0.5,20,0.05,softmax-k20-a0p5-t0p05
softmax,0.5,20,0.1,softmax-k20-a0p5-t0p1
softmax,0.5,20,0.2,softmax-k20-a0p5-t0p2
softmax,0.5,20,0.5,softmax-k20-a0p5-t0p5
mean,0.7,5,,mean-k5-a0p7-tnone
mean,0.7,20,,mean-k20-a0p7-tnone
mean,0.7,50,,mean-k50-a0p7-tnone
softmax,0.7,5,0.05,softmax-k5-a0p7-t0p05
softmax,0.7,5,0.1,softmax-k5-a0p7-t0p1
softmax,0.7,5,0.2,softmax-k5-a0p7-t0p2
softmax,0.7,5,0.5,softmax-k5-a0p7-t0p5
softmax,0.7,20,0.05,softmax-k20-a0p7-t0p05
softmax,0.7,20,0.1,softmax-k20-a0p7-t0p1
softmax,0.7,20,0.2,softmax-k20-a0p7-t0p2
softmax,0.7,20,0.5,softmax-k20-a0p7-t0p5
