score_channel,alpha,k,temperature,config_key,H3_abs_slope
ann_score,0.1,5,0.05,softmax-k5-a0p1-t0p05,0.008810449965716715
ann_score,0.1,5,0.1,softmax-k5-a0p1-t0p1,0.008687059705553774
ann_score,0.1,5,0.2,softmax-k5-a0p1-t0p2,0.008606823952594383
ann_score,0.1,5,0.5,softmax-k5-a0p1-t0p5,0.008588004627879411
ann_score,0.1,20,0.05,softmax-k20-a0p1-t0p05,0.008251766537528422
ann_score,0.1,20,0.1,softmax-k20-a0p1-t0p1,0.0081957103928609
ann_score,0.1,20,0.2,softmax-k20-a0p1-t0p2,0.00825191491312508
ann_score,0.1,20,0.5,softmax-k20-a0p1-t0p5,0.008185074461296538
ann_score,0.3,5,0.05,softmax-k5-a0p3-t0p05,0.028510529784148343
ann_score,0.3,5,0.1,softmax-k5-a0p3-t0p1,0.027933438148729853
ann_score,0.3,5,0.2,softmax-k5-a0p3-t0p2,0.027201533843231488
ann_score,0.3,5,0.5,softmax-k5-a0p3-t0p5,0.026603144457822914
ann_score,0.3,20,0.05,softmax-k20-a0p3-t0p05,0.031820068409750865
ann_score,0.3,20,0.1,softmax-k20-a0p3-t0p1,0.030714360975420716
ann_score,0.3,20,0.2,softmax-k20-a0p3-t0p2,0.03044162722063713
ann_score,0.3,20,0.5,softmax-k20-a0p3-t0p5,0.030169066338824293
ann_score,0.5,5,0.05,softmax-k5-a0p5-t0p05,0.045273160593428
ann_score,0.5,5,0.1,softmax-k5-a0p5-t0p1,0.04187518880801708
ann_score,0.5,5,0.2,softmax-k5-a0p5-t0p2,0.040480428748229234
ann_score,0.5,5,0.5,softmax-k5-a0p5-t0p5,0.04016043130743761
ann_score,0.5,20,0.05,softmax-k20-a0p5-t0p05,0.04683396457451091
ann_score,0.5,20,0.1,softmax-k20-a0p5-t0p1,0.045275788228130665
ann_score,0.5,20,0.2,softmax-k20-a0p5-t0p2,0.04474078622679444
ann_score,0.5,20,0.5,softmax-k20-a0p5-t0p5,0.04443730088143959
ann_score,0.7,5,0.05,softmax-k5-a0p7-t0p05,0.054477492906423675
ann_score,0.7,5,0.1,softmax-k5-a0p7-t0p1,0.04920868641303382
ann_score,0.7,5,0.2,softmax-k5-a0p7-t0p2,0.04785420940177205
ann_score,0.7,5,0.5,softmax-k5-a0p7-t0p5,0.04785154369022168
ann_score,0.7,20,0.05,softmax-k20-a0p7-t0p05,0.03858922629011348
ann_score,0.7,20,0.1,softmax-k20-a0p7-t0p1,0.035089481914238024
ann_score,0.7,20,0.2,softmax-k20-a0p7-t0p2,0.03405463862373749
ann_score,0.7,20,0.5,softmax-k20-a0p7-t0p5,0.03367634674653891
exact_rescore,0.1,5,0.05,softmax-k5-a0p1-t0p05,0.0017867326914800586
exact_rescore,0.1,5,0.1,softmax-k5-a0p1-t0p1,0.005156258897250099
exact_rescore,0.1,5,0.2,softmax-k5-a0p1-t0p2,0.006897868981797741
exact_rescore,0.1,5,0.5,softmax-k5-a0p1-t0p5,0.007886983264010054
exact_rescore,0.1,20,0.05,softmax-k20-a0p1-t0p05,0.003947416962951808
exact_rescore,0.1,20,0.1,softmax-k20-a0p1-t0p1,0.006350658494164558
exact_rescore,0.1,20,0.2,softmax-k20-a0p1-t0p2,0.007282199224322423
exact_rescore,0.1,20,0.5,softmax-k20-a0p1-t0p5,0.007734351110743649
exact_rescore,0.3,5,0.05,softmax-k5-a0p3-t0p05,0.002363529766562122
exact_rescore,0.3,5,0.1,softmax-k5-a0p3-t0p1,0.014927884340932972
exact_rescore,0.3,5,0.2,softmax-k5-a0p3-t0p2,0.02090910959853004
exact_rescore,0.3,5,0.5,softmax-k5-a0p3-t0p5,0.024491748719500134
exact_rescore,0.3,20,0.05,softmax-k20-a0p3-t0p05,0.015928892726588643
exact_rescore,0.3,20,0.1,softmax-k20-a0p3-t0p1,0.024329977314166463
exact_rescore,0.3,20,0.2,softmax-k20-a0p3-t0p2,0.02763512502356912
exact_rescore,0.3,20,0.5,softmax-k20-a0p3-t0p5,0.02927842055483417
exact_rescore,0.5,5,0.05,softmax-k5-a0p5-t0p05,0.0023800222260828264
exact_rescore,0.5,5,0.1,softmax-k5-a0p5-t0p1,0.02591317239563755
exact_rescore,0.5,5,0.2,softmax-k5-a0p5-t0p2,0.034219179166696014
exact_rescore,0.5,5,0.5,softmax-k5-a0p5-t0p5,0.0378420233405832
exact_rescore,0.5,20,0.05,softmax-k20-a0p5-t0p05,0.026062760295035542
exact_rescore,0.5,20,0.1,softmax-k20-a0p5-t0p1,0.037968942034543915
exact_rescore,0.5,20,0.2,softmax-k20-a0p5-t0p2,0.04145519456931939
exact_rescore,0.5,20,0.5,softmax-k20-a0p5-t0p5,0.04320209225534507
exact_rescore,0.7,5,0.05,softmax-k5-a0p7-t0p05,0.003128968899304881
exact_rescore,0.7,5,0.1,softmax-k5-a0p7-t0p1,0.03496336059955517
exact_rescore,0.7,5,0.2,softmax-k5-a0p7-t0p2,0.04161013598382103
exact_rescore,0.7,5,0.5,softmax-k5-a0p7-t0p5,0.04521835157727237
exact_rescore,0.7,20,0.05,softmax-k20-a0p7-t0p05,0.026262555496981158
exact_rescore,0.7,20,0.1,softmax-k20-a0p7-t0p1,0.0316389867822485
exact_rescore,0.7,20,0.2,softmax-k20-a0p7-t0p2,0.03235236029931114
exact_rescore,0.7,20,0.5,softmax-k20-a0p7-t0p5,0.032864382365302786
